cik,company,event_type,event_date,as_of_date,date_basis,source_accession,source_url,cohort,verification
748790,"Global Clean Energy Holdings, Inc.",chapter11,2025-04-18,2025-04-18,8k_filing_date_fallback,0001213900-25-033420,https://www.sec.gov/Archives/edgar/data/748790/000121390025033420/ea0238127-8k_global.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1830210,"Benson Hill, Inc.",chapter11,2025-03-25,2025-03-25,8k_filing_date_fallback,0001830210-25-000016,https://www.sec.gov/Archives/edgar/data/1830210/000183021025000016/bhil-20250319.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1804591,Chrome Holding Co.,chapter11,2025-03-24,2025-03-24,8k_filing_date_fallback,0001193125-25-060817,https://www.sec.gov/Archives/edgar/data/1804591/000119312525060817/d933650d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1779020,"Danimer Scientific, Inc.",chapter11,2025-03-18,2025-03-18,petition_date_from_8k_text,0000950170-25-041367,https://www.sec.gov/Archives/edgar/data/1779020/000095017025041367/dnmr-20250318.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1101680,DZS INC.,chapter11,2025-03-14,2025-03-14,8k_filing_date_fallback,0001101680-25-000021,https://www.sec.gov/Archives/edgar/data/1101680/000110168025000021/dzsi-20250314.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1162461,CUTERA INC,chapter11,2025-03-05,2025-03-05,petition_date_from_8k_text,0001193125-25-046217,https://www.sec.gov/Archives/edgar/data/1162461/000119312525046217/d878024d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1731289,Nikola Corp,chapter11,2025-02-19,2025-02-19,8k_filing_date_fallback,0001731289-25-000004,https://www.sec.gov/Archives/edgar/data/1731289/000173128925000004/nkla-20250218.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1850838,"Omega Therapeutics, Inc.",chapter11,2025-02-10,2025-02-14,petition_date_from_8k_text,0001193125-25-027349,https://www.sec.gov/Archives/edgar/data/1850838/000119312525027349/d896578d8k.htm,recent_2025_2026,item_1.03+chapter11_text+voluntary_petition
1835972,"iLearningEngines, Inc.",chapter11,2024-12-23,2024-12-23,8k_filing_date_fallback,0001213900-24-111529,https://www.sec.gov/Archives/edgar/data/1835972/000121390024111529/ea0225698-8k_ilearning.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1411688,"Container Store Group, Inc.",chapter11,2024-12-22,2024-12-23,petition_date_from_8k_text,0001104659-24-131067,https://www.sec.gov/Archives/edgar/data/1411688/000110465924131067/tm2431779d1_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1584754,ATECH (PARENT) RESOLUTION CORP.,chapter11,2024-12-16,2024-12-16,petition_date_from_8k_text,0001213900-24-109364,https://www.sec.gov/Archives/edgar/data/1584754/000121390024109364/ea0224859-8k_akoustis.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
837852,"IDEANOMICS, INC.",chapter11,2024-12-06,2024-12-06,8k_filing_date_fallback,0001628280-24-050149,https://www.sec.gov/Archives/edgar/data/837852/000162828024050149/idex-20241204.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1537028,"Independence Contract Drilling, Inc.",chapter11,2024-12-03,2024-12-03,8k_filing_date_fallback,0001537028-24-000057,https://www.sec.gov/Archives/edgar/data/1537028/000153702824000057/icdi-20241127x8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1813914,"CareMax, Inc.",chapter11,2024-11-18,2024-11-18,8k_filing_date_fallback,0000950170-24-127766,https://www.sec.gov/Archives/edgar/data/1813914/000095017024127766/cmax-20241115.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
1498710,"Spirit Aviation Holdings, Inc.",chapter11,2024-11-18,2024-11-18,8k_filing_date_fallback,0000950103-24-016405,https://www.sec.gov/Archives/edgar/data/1498710/000095010324016405/dp220813_8k.htm,prior_2021_2024,item_1.03+chapter11_text+voluntary_petition
