cik,company,sic,fts_date,item103_date,item103_accession,source_url,petition_date,date_basis,total_assets,periodic_filings_before,last_periodic,has_item103,has_chapter11_text,has_chapter7_text,verdict,reasons
1681282,Anvia Holdings Corp,8200,2018-06-08,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1621697,NATURAL HEALTH FARM HOLDINGS INC,7374,2018-06-11,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
918251,MOTORCAR PARTS OF AMERICA INC,3714,2018-06-11,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1468010,"Steadfast Income REIT, Inc.",6798,2018-06-15,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1735646,JPMDB Commercial Mortgage Securities Trust 2018-C8,6189,2018-06-15,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
886137,FINISH LINE INC /IN/,5661,2018-06-18,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1740450,CITIGROUP COMMERCIAL MORTGAGE TRUST 2018-C5,6189,2018-06-21,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1741276,California Republic Auto Receivables Trust 2018-1,6189,2018-06-22,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
100378,TWIN DISC INC,3560,2018-07-03,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1554875,"Tintri, Inc.",7374,2018-07-10,2018-07-10,0001193125-18-215263,,,,,3,2018-05-18,True,False,False,rejected,only 3 periodic filings before the event
1740040,UBS Commercial Mortgage Trust 2018-C11,6189,2018-07-10,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1742383,Morgan Stanley Capital I Trust 2018-H3,6189,2018-07-12,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1740849,Benchmark 2018-B4 Mortgage Trust,6189,2018-07-13,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1741690,Wells Fargo Commercial Mortgage Trust 2018-C45,6189,2018-07-17,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
1733358,Mercedes-Benz Auto Receivables Trust 2018-1,6189,2018-07-19,,,,,,,0,,False,False,False,rejected,no 8-K carrying item 1.03 in window
