late_filing,auditor_change,delisting,covenant,impairment,material_weakness,going_concern,cik,as_of,label,fold
0,0,0,0,0,1,0,1729750,2022-01-01,0,train
0,0,0,0,0,1,0,1766368,2020-10-01,0,train
0,0,0,0,0,0,0,355379,2022-10-01,0,train
0,0,0,0,0,0,0,894671,2023-04-01,0,train
0,0,0,0,0,0,0,72127,2021-01-01,0,train
1,0,1,1,1,0,1,1498301,2022-01-01,0,train
0,0,0,0,0,0,0,1711929,2023-04-01,0,train
0,0,0,0,0,0,1,1008653,2022-04-01,0,train
0,0,0,0,0,0,0,1772253,2023-04-01,0,train
0,0,0,0,0,0,1,827099,2020-01-01,0,train
0,0,0,0,0,1,0,1662774,2020-04-01,0,train
1,1,0,0,0,1,0,949852,2020-10-01,0,train
0,0,0,0,0,0,0,1620463,2022-07-01,0,train
1,1,0,0,0,1,0,1133062,2019-07-01,0,train
0,0,0,0,0,0,0,1084201,2022-10-01,0,train
0,0,0,0,0,0,0,1389545,2021-07-01,0,train
0,0,0,0,0,0,1,1082554,2020-07-01,0,train
0,0,0,0,0,0,0,1045450,2022-10-01,0,train
1,0,0,0,0,0,1,1597892,2021-10-01,0,train
0,0,0,0,0,0,0,1379527,2020-04-01,0,train
0,0,0,0,0,1,0,1725033,2020-10-01,0,train
0,0,0,0,0,0,0,763532,2022-01-01,0,train
0,0,0,0,0,0,0,1579877,2019-07-01,0,train
0,0,0,0,0,0,0,1577445,2022-04-01,0,train
1,0,0,0,0,0,1,1386049,2022-01-01,0,train
0,0,0,0,0,0,0,1840439,2022-04-01,0,train
0,0,0,0,0,1,0,1545772,2023-01-01,0,train
0,0,0,0,0,0,0,1253986,2019-01-01,0,train
0,0,0,0,0,1,0,1654795,2023-01-01,0,train
1,0,0,0,0,1,1,1874474,2023-01-01,0,train
0,0,0,0,0,0,0,1466301,2019-04-01,0,train
